id,region,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state,price
23505,fort collins / north CO,2014,volkswagen,like new,4 cylinders,gas,151002,clean,manual,fwd,compact,sedan,silver,co,6180
23506,rochester,2017,ram,excellent,8 cylinders,gas,38515,clean,automatic,4wd,full-size,truck,black,ny,39768
23507,twin falls,2014,chevrolet,like new,4 cylinders,gas,108750,rebuilt,automatic,fwd,full-size,sedan,black,id,3475
23508,albuquerque,1998,ram,fair,6 cylinders,diesel,300364,clean,automatic,4wd,full-size,pickup,green,nm,2646
23509,denver,2014,SUBARU,excellent,4 cylinders,gas,285586,clean,manual,4wd,mid-size,wagon,silver,co,6600
23510,albuquerque,2001,toyota,good,6 cylinders,gas,129782,clean,automatic,fwd,mid-size,mini-van,white,nm,4039
23511,jacksonville,2004,dodge,excellent,6 cylinders,gas,99120,clean,automatic,fwd,mid-size,SUV,black,fl,6563
23512,oregon coast,2013,ford,good,4 cylinders,gas,64507,clean,automatic,4wd,full-size,SUV,white,or,18155
23513,inland empire,2015,ford,excellent,6 cylinders,gas,164592,clean,automatic,4wd,full-size,SUV,silver,ca,8319
23514,dayton / springfield,2004,jeep,like new,6 cylinders,,153381,clean,manual,4wd,mid-size,SUV,red,oh,4082
23515,las vegas,2010,bmw,like new,6 cylinders,gas,84400,clean,automatic,rwd,mid-size,sedan,black,nv,5394
23516,duluth / superior,2009,FORD,excellent,6 cylinders,,89882,,automatic,fwd,full-size,,white,,7910
23517,sacramento,2013,ford,excellent,4 cylinders,gas,110204,clean,automatic,fwd,full-size,sedan,black,,21620
23518,rapid city / west SD,2005,chevrolet,fair,6 cylinders,gas,88038,clean,automatic,fwd,full-size,SUV,black,sd,7301
23519,monterey bay,1997,CHEVROLET,excellent,8 cylinders,gas,34242,rebuilt,manual,fwd,mid-size,SUV,red,,11477
23520,las vegas,2005,bmw,fair,6 cylinders,gas,91207,clean,manual,fwd,mid-size,sedan,orange,nv,5639
23521,albany,2015,ford,excellent,4 cylinders,gas,99142,clean,automatic,4wd,compact,SUV,black,ny,19118
23522,monterey bay,2015,honda,like new,4 cylinders,gas,100992,clean,automatic,fwd,compact,SUV,white,,30058
23523,greensboro,2010,bmw,excellent,6 cylinders,,59861,rebuilt,automatic,rwd,mid-size,sedan,black,nc,36595
23524,jacksonville,2014,chevrolet,excellent,4 cylinders,gas,144381,clean,automatic,fwd,mid-size,SUV,black,fl,6861
23525,louisville,2001,audi,excellent,6 cylinders,,133288,clean,automatic,4wd,mid-size,SUV,red,ky,19557
23526,columbus,2007,bmw,excellent,4 cylinders,gas,108917,clean,manual,fwd,compact,sedan,silver,oh,2400
23527,denver,1930,bmw,excellent,6 cylinders,gas,87042,clean,manual,rwd,mid-size,coupe,silver,co,14171
23528,dallas / fort worth,2014,kia,like new,4 cylinders,gas,8035,clean,automatic,fwd,compact,sedan,black,,10639
23529,memphis,2014,ford,like new,8 cylinders,gas,23855,clean,automatic,rwd,full-size,truck,purple,tn,30627
23530,new haven,1996,ford,fair,10 cylinders,gas,194429,clean,automatic,rwd,full-size,truck,green,ct,2128
23531,richmond,2014,chevrolet,excellent,6 cylinders,diesel,78565,clean,automatic,4wd,full-size,truck,white,va,18141
23532,plattsburgh-adirondacks,1986,ford,like new,6 cylinders,gas,55535,salvage,automatic,fwd,mid-size,coupe,silver,ny,40559
23533,eau claire,2013,ford,excellent,8 cylinders,gas,140735,clean,automatic,4wd,full-size,truck,grey,wi,6656
23534,mcallen / edinburg,2013,chevrolet,excellent,4 cylinders,gas,63379,clean,automatic,4wd,full-size,SUV,black,tx,20662
23535,rhode island,2001,buick,fair,6 cylinders,,164118,clean,automatic,fwd,mid-size,sedan,green,ri,2391
23536,detroit metro,2019,hyundai,like new,4 cylinders,gas,12876,clean,automatic,fwd,mid-size,sedan,black,mi,16015
23537,huntsville / decatur,2011,chevrolet,good,8 cylinders,diesel,24983,rebuilt,automatic,4wd,full-size,truck,black,al,28627
23538,stockton,2018,kia,like new,4 cylinders,,36159,clean,automatic,fwd,compact,sedan,white,ca,24370
23539,des moines,2013,ford,good,4 cylinders,gas,178228,rebuilt,automatic,fwd,full-size,truck,black,,8406
23540,baltimore,2011,jeep,excellent,6 cylinders,gas,151009,clean,automatic,4wd,full-size,SUV,black,md,20614
23541,richmond,2007,ford,good,4 cylinders,gas,135338,clean,automatic,fwd,full-size,sedan,red,va,3897
23542,flint,2013,buick,excellent,6 cylinders,gas,126808,clean,automatic,fwd,full-size,coupe,red,mi,5168
23543,central NJ,2009,honda,excellent,4 cylinders,gas,170922,clean,automatic,4wd,compact,SUV,blue,nj,7564
23544,tampa bay area,2012,chevrolet,excellent,4 cylinders,gas,94615,clean,automatic,rwd,full-size,sedan,green,fl,15604
23545,dallas / fort worth,2010,ford,like new,8 cylinders,gas,51935,clean,automatic,rwd,full-size,sedan,silver,tx,5301
23546,detroit metro,2016,audi,like new,8 cylinders,gas,74380,clean,manual,rwd,full-size,sedan,black,mi,17600
23547,syracuse,1992,chevrolet,good,8 cylinders,gas,58724,clean,automatic,fwd,full-size,coupe,blue,,7053
23548,fayetteville,2014,toyota,excellent,4 cylinders,hybrid,119632,clean,automatic,fwd,compact,hatchback,black,,6206
23549,saginaw-midland-baycity,2015,ｎｉｓｓａｎ,excellent,4 cylinders,gas,145564,lien,automatic,fwd,full-size,sedan,grey,mi,8245
23550,rockford,2018,honda,excellent,6 cylinders,gas,110588,clean,automatic,4wd,mid-size,SUV,red,,22282
23551,orlando,1955,chevrolet,fair,8 cylinders,gas,105816,clean,automatic,fwd,full-size,coupe,green,fl,3727
23552,st cloud,2001,RAM,excellent,10 cylinders,gas,154373,clean,manual,4wd,full-size,truck,blue,mn,11253
23553,detroit metro,2012,toyota,excellent,6 cylinders,gas,124171,clean,manual,fwd,full-size,SUV,black,mi,21625
23554,rochester,2014,CHEVROLET,excellent,6 cylinders,gas,107327,clean,automatic,fwd,full-size,SUV,black,,5290
23555,wichita,2015,NISSAN,like new,4 cylinders,gas,75463,clean,automatic,fwd,mid-size,coupe,black,ks,8744
23556,las vegas,1963,ford,good,6 cylinders,gas,11074,clean,automatic,rwd,full-size,truck,silver,nv,21571
23557,el paso,1998,ford,good,6 cylinders,gas,64669,rebuilt,manual,rwd,mid-size,coupe,white,tx,9001
23558,ft myers / SW florida,1987,chevrolet,excellent,8 cylinders,diesel,125461,clean,automatic,rwd,full-size,truck,black,fl,18631
23559,salem,2015,audi,excellent,6 cylinders,gas,102506,rebuilt,automatic,fwd,mid-size,sedan,black,or,30836
23560,tampa bay area,2012,honda,excellent,6 cylinders,gas,112544,clean,automatic,fwd,full-size,sedan,black,,15113
23561,fargo / moorhead,2007,ford,excellent,6 cylinders,diesel,104116,clean,automatic,4wd,full-size,pickup,black,,19870
23562,el paso,2012,ford,excellent,8 cylinders,gas,176295,clean,automatic,rwd,full-size,SUV,white,tx,4742
23563,"st louis, MO",2012,bmw,excellent,6 cylinders,gas,60496,clean,manual,rwd,mid-size,SUV,silver,mo,23636
23564,tampa bay area,2002,jeep,excellent,6 cylinders,gas,150007,clean,automatic,4wd,mid-size,SUV,black,fl,4931
23565,bismarck,2005,ford,fair,4 cylinders,gas,184899,clean,manual,fwd,full-size,coupe,green,,1370
23566,san luis obispo,2003,ram,excellent,6 cylinders,diesel,124715,rebuilt,manual,4wd,full-size,pickup,silver,ca,37864
23567,detroit metro,2017,audi,excellent,4 cylinders,gas,60506,rebuilt,automatic,fwd,mid-size,SUV,blue,,22302
23568,chattanooga,2001,cadillac,good,8 cylinders,gas,193185,clean,automatic,4wd,full-size,truck,silver,tn,8075
23569,lansing,2014,jeep,excellent,6 cylinders,gas,95334,clean,automatic,4wd,mid-size,offroad,blue,mi,22263
23570,louisville,2012,jeep,excellent,6 cylinders,gas,8845,clean,automatic,4wd,mid-size,SUV,blue,,46402
23571,"washington, DC",2010,CHEVROLET,excellent,6 cylinders,gas,85988,clean,automatic,fwd,mid-size,SUV,silver,dc,14252
23572,south florida,1994,chevrolet,good,6 cylinders,gas,147629,salvage,automatic,4wd,full-size,SUV,black,fl,5868
23573,"washington, DC",2007,ford,good,8 cylinders,gas,142319,clean,automatic,fwd,full-size,truck,black,dc,17307
23574,humboldt county,2016,chevrolet,excellent,6 cylinders,gas,27406,clean,manual,4wd,full-size,pickup,white,ca,20706
23575,roanoke,2001,toyota,fair,4 cylinders,gas,163401,clean,manual,fwd,full-size,sedan,red,va,5523
23576,lafayette / west lafayette,2013,ford,excellent,6 cylinders,gas,152580,clean,other,4wd,full-size,truck,grey,in,28089
23577,colorado springs,2009,nissan,excellent,6 cylinders,gas,82427,clean,automatic,fwd,mid-size,SUV,brown,co,9224
23578,western massachusetts,1992,jeep,excellent,6 cylinders,gas,147245,clean,automatic,fwd,mid-size,SUV,silver,ma,10058
23579,atlanta,2012,FORD,excellent,6 cylinders,diesel,72857,,automatic,4wd,full-size,,white,,25121
23580,baltimore,2013,honda,like new,6 cylinders,gas,102460,clean,automatic,fwd,compact,sedan,blue,md,5092
23581,palm springs,1988,ford,fair,8 cylinders,gas,111408,clean,manual,fwd,compact,truck,green,ca,3875
23582,portland,2014,VOLVO,good,6 cylinders,gas,270337,rebuilt,automatic,4wd,full-size,SUV,black,or,8386
23583,evansville,2009,chevrolet,excellent,4 cylinders,gas,215728,clean,automatic,fwd,full-size,coupe,green,in,6643
23584,"washington, DC",2006,ford,excellent,8 cylinders,gas,195970,clean,automatic,4wd,full-size,pickup,black,dc,6987
23585,rhode island,2008,chevrolet,excellent,8 cylinders,gas,114423,clean,automatic,4wd,full-size,truck,black,ri,38564
23586,ventura county,1996,ford,like new,6 cylinders,gas,24023,parts only,manual,rwd,full-size,truck,white,ca,26646
23587,dallas / fort worth,2011,kia,like new,4 cylinders,gas,124271,clean,automatic,fwd,compact,sedan,black,tx,3731
23588,tampa bay area,1997,jeep,fair,6 cylinders,gas,261631,clean,manual,4wd,full-size,SUV,green,fl,1612
23589,reading,1998,jeep,fair,6 cylinders,gas,173985,clean,other,4wd,full-size,SUV,blue,pa,4737
23590,texarkana,2003,ford,good,6 cylinders,gas,177620,clean,manual,rwd,full-size,coupe,black,tx,4203
23591,rochester,1987,acura,fair,6 cylinders,gas,122428,clean,automatic,rwd,full-size,SUV,brown,ny,8618
23592,phoenix,1981,chevrolet,excellent,6 cylinders,gas,99672,clean,automatic,rwd,full-size,sedan,green,az,6010
23593,knoxville,2017,ram,excellent,6 cylinders,diesel,127174,clean,manual,4wd,full-size,pickup,silver,tn,38857
23594,bend,2012,buick,excellent,4 cylinders,gas,178015,clean,automatic,fwd,full-size,sedan,silver,or,12297
23595,tampa bay area,2017,chevrolet,like new,6 cylinders,gas,9329,salvage,manual,fwd,sub-compact,sedan,black,fl,25803
23596,inland empire,2009,volkswagen,good,4 cylinders,gas,117771,clean,automatic,fwd,compact,sedan,grey,ca,4808
23597,central NJ,2012,hyundai,excellent,4 cylinders,gas,111410,salvage,automatic,fwd,compact,sedan,black,nj,5177
23598,los angeles,2009,jeep,good,5 cylinders,gas,121585,lien,manual,4wd,mid-size,SUV,black,ca,9615
23599,toledo,2009,gmc,good,8 cylinders,diesel,146185,clean,automatic,4wd,full-size,truck,silver,oh,18934
23600,western slope,2014,honda,excellent,4 cylinders,gas,114691,rebuilt,manual,fwd,mid-size,sedan,blue,,9644
23601,dallas / fort worth,2008,bmw,excellent,6 cylinders,gas,94510,clean,automatic,rwd,full-size,sedan,blue,tx,20716
23602,central NJ,2014,ford,excellent,4 cylinders,gas,109257,salvage,manual,fwd,mid-size,sedan,black,nj,15551
23603,central NJ,2010,FORD,excellent,6 cylinders,gas,64399,clean,automatic,fwd,full-size,sedan,grey,nj,12422
23604,dallas / fort worth,2012,volkswagen,like new,4 cylinders,gas,73451,clean,automatic,fwd,mid-size,sedan,silver,,5971
23605,south florida,2014,buick,excellent,4 cylinders,,122396,clean,automatic,fwd,mid-size,SUV,silver,fl,5350
23606,syracuse,2005,chevrolet,fair,8 cylinders,gas,166217,clean,automatic,fwd,full-size,sedan,brown,ny,3691
23607,joplin,2014,ford,excellent,6 cylinders,gas,38611,lien,automatic,fwd,mid-size,SUV,white,mo,21516
23608,sarasota-bradenton,1998,buick,fair,6 cylinders,gas,200061,clean,automatic,rwd,full-size,SUV,black,fl,9006
23609,grand rapids,2003,volkswagen,excellent,4 cylinders,gas,162334,clean,manual,fwd,mid-size,coupe,silver,mi,22520
23610,scranton / wilkes-barre,2004,ford,fair,8 cylinders,gas,182123,clean,manual,rwd,full-size,pickup,green,pa,19670
23611,hawaii,2005,ＦＯＲＤ,good,8 cylinders,diesel,97034,clean,automatic,rwd,full-size,truck,black,hi,23446
23612,visalia-tulare,2014,ford,excellent,8 cylinders,gas,69650,rebuilt,automatic,fwd,full-size,sedan,black,,9460
23613,albany,2017,ram,excellent,6 cylinders,diesel,95783,clean,automatic,4wd,full-size,SUV,blue,ny,25930
23614,south florida,2017,nissan,like new,4 cylinders,,168478,clean,automatic,fwd,full-size,sedan,black,fl,23620
23615,colorado springs,1997,toyota,good,4 cylinders,gas,200280,clean,manual,fwd,full-size,truck,silver,,2620
23616,dallas / fort worth,2015,ford,excellent,6 cylinders,gas,186719,clean,automatic,fwd,mid-size,sedan,silver,tx,6648
23617,los angeles,2012,bmw,excellent,6 cylinders,gas,101798,clean,automatic,rwd,mid-size,coupe,black,ca,5716
23618,pittsburgh,2013,buick,like new,4 cylinders,gas,15990,clean,automatic,fwd,full-size,SUV,silver,pa,35897
23619,hartford,2011,bmw,excellent,6 cylinders,gas,80187,clean,automatic,4wd,mid-size,SUV,black,ct,17590
23620,madison,2007,bmw,excellent,6 cylinders,gas,109073,clean,automatic,rwd,full-size,coupe,blue,wi,6763
23621,orange county,1995,nissan,good,4 cylinders,gas,158197,clean,manual,fwd,mid-size,coupe,red,ca,8406
23622,columbus,2003,GMC,good,8 cylinders,diesel,120319,clean,automatic,4wd,full-size,truck,black,oh,5572
23623,charlotte,2012,chevrolet,excellent,6 cylinders,gas,32846,clean,automatic,rwd,full-size,coupe,white,,43439
23624,boston,2008,dodge,excellent,6 cylinders,gas,81575,clean,automatic,rwd,full-size,pickup,black,ma,3839
23625,minneapolis / st paul,2011,nissan,good,4 cylinders,gas,116156,salvage,automatic,fwd,mid-size,SUV,grey,mn,9337
23626,humboldt county,2007,chevrolet,excellent,6 cylinders,gas,186492,clean,automatic,fwd,full-size,truck,silver,ca,2679
23627,duluth / superior,2020,ford,excellent,4 cylinders,gas,7346,clean,manual,4wd,mid-size,SUV,black,mn,37931
23628,fayetteville,2003,mazda,fair,4 cylinders,gas,193510,clean,manual,fwd,compact,hatchback,green,nc,1665
23629,boise,2007,ford,excellent,8 cylinders,gas,133374,clean,other,4wd,full-size,pickup,red,id,17153
23630,kennewick-pasco-richland,2012,chevrolet,excellent,8 cylinders,gas,107474,clean,automatic,fwd,full-size,SUV,silver,wa,29753
23631,yuba-sutter,2016,bmw,good,4 cylinders,gas,9741,clean,other,fwd,mid-size,sedan,silver,ca,13178
23632,dallas / fort worth,2005,buick,excellent,4 cylinders,gas,157664,clean,automatic,fwd,mid-size,SUV,silver,tx,6420
23633,jacksonville,2011,toyota,excellent,6 cylinders,hybrid,128910,clean,automatic,fwd,mid-size,sedan,white,fl,9083
23634,eugene,2011,chevrolet,good,4 cylinders,gas,115947,clean,automatic,fwd,full-size,sedan,black,or,7177
23635,duluth / superior,2010,volkswagen,excellent,4 cylinders,,165747,clean,manual,fwd,mid-size,sedan,blue,mn,4840
23636,hudson valley,2004,mercury,fair,6 cylinders,gas,162615,clean,manual,fwd,full-size,SUV,silver,,3855
23637,northwest OK,1994,bmw,excellent,6 cylinders,gas,128294,clean,automatic,fwd,full-size,sedan,blue,ok,2102
23638,pueblo,1980,ram,like new,8 cylinders,gas,119761,clean,automatic,4wd,full-size,wagon,green,co,3651
23639,fargo / moorhead,2010,chrysler,excellent,6 cylinders,gas,114047,clean,automatic,fwd,mid-size,sedan,grey,mn,6946
23640,eugene,2007,subaru,excellent,4 cylinders,gas,129055,clean,manual,fwd,compact,sedan,black,or,18142
23641,rockford,2005,ford,good,8 cylinders,gas,174383,,manual,4wd,full-size,,green,il,5891
23642,ames,2016,volkswagen,good,4 cylinders,gas,108176,clean,manual,fwd,compact,sedan,blue,ia,5188
23643,ocala,2010,chevrolet,good,8 cylinders,,123228,clean,automatic,fwd,full-size,sedan,blue,fl,6368
23644,rhode island,2011,chevrolet,good,6 cylinders,gas,116800,clean,automatic,fwd,mid-size,van,white,ri,7310
23645,tampa bay area,2010,jeep,excellent,6 cylinders,gas,156339,clean,automatic,fwd,full-size,SUV,white,fl,3346
23646,phoenix,2002,chevrolet,good,8 cylinders,gas,99970,clean,automatic,rwd,fullーsize,SUV,white,,16022
23647,orange county,2017,ram,good,8 cylinders,diesel,95117,clean,manual,4wd,full-size,truck,black,,60190
23648,oregon coast,2007,chevrolet,excellent,4 cylinders,gas,100965,clean,automatic,fwd,mid-size,SUV,green,,5558
23649,salem,2011,ram,excellent,8 cylinders,diesel,94848,clean,automatic,4wd,full-size,truck,black,or,40731
23650,dallas / fort worth,2014,BMW,excellent,6 cylinders,gas,113363,clean,automatic,rwd,full-size,coupe,black,tx,8152
23651,south florida,2013,bmw,excellent,6 cylinders,gas,76785,clean,automatic,fwd,mid-size,sedan,black,,3140
23652,rochester,2013,jeep,excellent,6 cylinders,gas,77279,clean,automatic,fwd,mid-size,SUV,black,ny,8874
23653,pittsburgh,2013,ford,excellent,6 cylinders,gas,86424,rebuilt,automatic,fwd,mid-size,sedan,white,pa,20584
23654,greensboro,2004,nissan,good,4 cylinders,gas,78649,clean,manual,fwd,full-size,sedan,green,nc,4595
23655,kalispell,2012,MERCEDES-BENZ,like new,12 cylinders,gas,115621,clean,manual,rwd,full-size,sedan,yellow,,19749
23656,treasure coast,2003,chevrolet,excellent,8 cylinders,gas,158647,clean,automatic,rwd,full-size,sedan,green,,4263
23657,new york city,2014,honda,excellent,6 cylinders,,-1,clean,automatic,4wd,mid-size,SUV,silver,ny,8242
23658,stockton,2016,chevrolet,excellent,4 cylinders,gas,31680,salvage,automatic,rwd,mid-size,sedan,orange,ca,40892
23659,asheville,2013,ford,like new,8 cylinders,diesel,142396,clean,manual,4wd,full-size,pickup,black,nc,26393
23660,boulder,2015,toyota,excellent,4 cylinders,gas,190747,,automatic,fwd,compact,,red,co,4145
23661,fayetteville,1993,chevrolet,like new,4 cylinders,gas,105821,clean,automatic,fwd,full-size,sedan,green,nc,4492
23662,dayton / springfield,2007,dodge,good,6 cylinders,gas,132713,clean,automatic,fwd,mid-size,hatchback,white,oh,5961
23663,albany,2011,volkswagen,excellent,4 cylinders,gas,78593,clean,automatic,fwd,mid-size,sedan,black,ny,9184
23664,san diego,2012,hyundai,like new,4 cylinders,gas,22005,clean,automatic,fwd,full-size,sedan,black,ca,5959
23665,new york city,2017,audi,like new,4 cylinders,gas,130809,clean,automatic,fwd,full-size,SUV,black,,7799
23666,rhode island,2013,chrysler,excellent,6 cylinders,,109254,clean,automatic,fwd,mid-size,SUV,grey,,14688
23667,denver,2008,jeep,good,6 cylinders,gas,174011,clean,manual,4wd,mid-size,SUV,silver,co,8203
23668,el paso,1960,ram,excellent,8 cylinders,diesel,18298,missing,automatic,rwd,full-size,pickup,black,tx,29235
23669,columbus,2008,toyota,like new,4 cylinders,gas,123839,clean,manual,fwd,mid-size,SUV,green,oh,9382
23670,myrtle beach,2006,toyota,excellent,8 cylinders,gas,127277,clean,manual,4wd,full-size,pickup,green,sc,10296
23671,south coast,2011,ford,like new,4 cylinders,gas,87341,clean,manual,fwd,compact,sedan,black,ma,41305
23672,western slope,2018,ford,like new,6 cylinders,gas,83019,lien,automatic,4wd,mid-size,SUV,black,co,27800
23673,charlotte,2009,dodge,excellent,8 cylinders,gas,42075,clean,manual,rwd,full-size,coupe,green,nc,18846
23674,pensacola,1999,bmw,good,6 cylinders,gas,90878,clean,automatic,rwd,compact,coupe,black,fl,7552
23675,st george,2014,nissan,excellent,6 cylinders,gas,149013,clean,automatic,fwd,mid-size,SUV,black,ut,6591
23676,rochester,2010,RAM,excellent,6 cylinders,diesel,175157,clean,automatic,4wd,full-size,pickup,black,,21693
23677,south florida,2004,ford,fair,6 cylinders,gas,228947,clean,automatic,rwd,mid-size,sedan,blue,,4140
23678,bismarck,1969,ford,excellent,8 cylinders,gas,8243,clean,automatic,rwd,full-size,coupe,green,,11578
23679,omaha / council bluffs,2005,bmw,excellent,6 cylinders,gas,20936,rebuilt,automatic,fwd,mid-size,sedan,blue,ia,9630
23680,spokane / coeur d'alene,2014,ram,excellent,6 cylinders,diesel,17510,clean,automatic,4wd,full-size,truck,black,id,27647
23681,norfolk / hampton roads,2011,ford,excellent,6 cylinders,gas,112673,clean,automatic,fwd,full-size,sedan,grey,va,15145
23682,long island,2016,chevrolet,good,4 cylinders,gas,32108,clean,automatic,fwd,full-size,van,white,,22113
23683,medford-ashland,2013,ram,fair,8 cylinders,gas,121173,clean,manual,4wd,full-size,truck,black,or,26190
23684,baltimore,2005,hyundai,good,6 cylinders,gas,94366,clean,automatic,fwd,full-size,SUV,blue,md,7461
23685,pueblo,2009,chevrolet,good,8 cylinders,gas,184658,clean,automatic,4wd,full-size,truck,green,co,3850
23686,ventura county,2015,ford,good,4 cylinders,gas,90419,lien,manual,rwd,full-size,sedan,white,ca,18704
23687,central NJ,2010,ford,excellent,4 cylinders,gas,19006,clean,automatic,fwd,mid-size,sedan,white,nj,19087
23688,"washington, DC",2009,ford,good,6 cylinders,gas,156509,clean,automatic,fwd,full-size,pickup,red,dc,9762
23689,western massachusetts,2015,ford,excellent,4 cylinders,gas,126035,clean,automatic,fwd,compact,sedan,white,ma,22166
23690,colorado springs,2006,bmw,excellent,6 cylinders,gas,105292,clean,automatic,rwd,mid-size,SUV,black,co,5251
23691,albuquerque,2014,ford,good,8 cylinders,gas,195036,clean,automatic,rwd,mid-size,truck,white,nm,6354
23692,toledo,1997,ford,good,6 cylinders,,131718,,automatic,fwd,full-size,,black,oh,3941
23693,east idaho,2015,ford,like new,8 cylinders,diesel,26401,clean,other,4wd,full-size,truck,silver,id,38196
23694,minneapolis / st paul,2018,jeep,excellent,6 cylinders,gas,42996,clean,automatic,4wd,mid-size,SUV,blue,mn,18100
23695,rhode island,2014,chevrolet,excellent,6 cylinders,gas,112954,clean,automatic,4wd,full-size,SUV,silver,ri,14278
23696,bakersfield,2013,volkswagen,like new,4 cylinders,,6903,salvage,manual,fwd,mid-size,sedan,white,ca,11730
23697,norfolk / hampton roads,2015,ram,good,8 cylinders,diesel,10209,clean,automatic,4wd,full-size,truck,black,va,20624
23698,los angeles,2014,toyota,like new,4 cylinders,gas,107132,rebuilt,automatic,fwd,full-size,sedan,black,,10527
23699,dayton / springfield,2003,ford,excellent,6 cylinders,diesel,112061,clean,manual,4wd,full-size,SUV,black,oh,21906
23700,heartland florida,2013,ford,excellent,4 cylinders,gas,155253,clean,manual,4wd,full-size,truck,white,fl,22122
23701,colorado springs,2014,volvo,excellent,4 cylinders,gas,99848,clean,automatic,4wd,mid-size,SUV,black,co,16098
23702,harrisburg,2008,ford,like new,8 cylinders,diesel,150834,clean,automatic,rwd,full-size,truck,red,pa,7858
23703,pittsburgh,2014,bmw,excellent,4 cylinders,gas,55652,rebuilt,automatic,4wd,mid-size,sedan,black,pa,21963
23704,albany,2014,honda,good,4 cylinders,diesel,99346,clean,automatic,fwd,compact,sedan,red,ny,25632
23705,mcallen / edinburg,2019,subaru,like new,4 cylinders,,17975,clean,automatic,4wd,full-size,wagon,blue,,10008
23706,billings,2013,acura,excellent,4 cylinders,gas,260441,clean,automatic,fwd,mid-size,sedan,green,,3180
23707,norfolk / hampton roads,2004,buick,excellent,6 cylinders,gas,151175,clean,manual,fwd,mid-size,SUV,black,va,18351
23708,western massachusetts,1997,ford,good,4 cylinders,gas,144673,clean,automatic,fwd,full-size,truck,white,ma,4861
23709,grand rapids,1970,CHEVROLET,excellent,8 cylinders,gas,91696,clean,automatic,rwd,full-size,coupe,green,mi,12847
23710,rhode island,1998,chevrolet,fair,8 cylinders,gas,119702,clean,manual,rwd,full-size,sedan,green,ri,4032
23711,central NJ,2018,jeep,like new,6 cylinders,gas,13990,clean,automatic,4wd,mid-size,pickup,black,nj,27075
23712,central NJ,2007,jeep,fair,6 cylinders,,226929,clean,manual,4wd,full-size,offroad,red,nj,5931
23713,dallas / fort worth,2016,ford,excellent,6 cylinders,,1677,clean,automatic,fwd,full-size,pickup,blue,tx,36268
23714,louisville,2018,JEEP,excellent,6 cylinders,gas,59796,rebuilt,automatic,4wd,mid-size,SUV,black,ky,27663
23715,buffalo,1992,bmw,excellent,6 cylinders,gas,209756,clean,other,fwd,mid-size,coupe,silver,ny,4204
23716,central NJ,2011,chevrolet,excellent,4 cylinders,gas,90382,clean,automatic,4wd,mid-size,truck,blue,nj,19031
23717,kenai peninsula,1988,ford,fair,8 cylinders,,160518,,manual,rwd,full-size,,green,ak,2467
23718,albany,2014,honda,excellent,4 cylinders,gas,68291,clean,automatic,fwd,full-size,sedan,black,ny,12538
23719,columbus,1986,ford,fair,4 cylinders,gas,134684,clean,manual,rwd,mid-size,other,green,,2768
23720,ann arbor,2013,mitsubishi,like new,4 cylinders,gas,118259,clean,automatic,fwd,full-size,sedan,black,mi,24986
23721,medford-ashland,1998,ford,excellent,8 cylinders,gas,117805,clean,manual,4wd,full-size,truck,black,,9618
23722,williamsport,2014,bmw,good,4 cylinders,gas,106432,rebuilt,automatic,fwd,mid-size,sedan,black,,6261
23723,"kansas city, MO",2013,VOLKSWAGEN,excellent,4 cylinders,gas,169981,clean,automatic,fwd,full-size,sedan,black,mo,3938
23724,sioux city,1986,chevrolet,good,6 cylinders,gas,97993,clean,manual,fwd,mid-size,sedan,green,ia,6608
23725,pittsburgh,2014,mazda,excellent,6 cylinders,gas,107435,clean,automatic,fwd,mid-size,SUV,black,pa,6929
23726,central NJ,2012,kia,excellent,4 cylinders,gas,76397,clean,automatic,fwd,compact,sedan,black,nj,12418
23727,cincinnati,2010,TOYOTA,excellent,6 cylinders,gas,210361,salvage,automatic,fwd,mid-size,sedan,custom,,3817
23728,orange county,2012,ford,good,6 cylinders,diesel,145002,clean,manual,rwd,full-size,truck,white,ca,23626
23729,las cruces,2010,kia,excellent,6 cylinders,gas,187057,rebuilt,automatic,4wd,full-size,SUV,black,nm,7202
23730,pullman / moscow,1992,chevrolet,good,other,gas,51622,clean,automatic,rwd,full-size,coupe,black,wa,8765
23731,new york city,2011,ford,excellent,4 cylinders,gas,48751,clean,automatic,fwd,mid-size,truck,white,ny,23403
23732,rhode island,2006,bmw,excellent,6 cylinders,gas,100273,clean,automatic,4wd,mid-size,sedan,black,ri,6267
23733,central NJ,1987,FORD,good,6 cylinders,diesel,75706,clean,manual,4wd,full-size,pickup,white,nj,25940
23734,rochester,1999,jeep,excellent,4 cylinders,gas,87637,clean,manual,4wd,mid-size,SUV,red,ny,20283
23735,akron / canton,2011,FORD,excellent,6 cylinders,gas,146874,rebuilt,automatic,fwd,mid-size,SUV,black,oh,8023
23736,albuquerque,1999,chevrolet,fair,8 cylinders,,211051,clean,manual,4wd,mid-size,pickup,green,nm,4316
23737,south jersey,1996,ford,excellent,6 cylinders,gas,185853,rebuilt,automatic,fwd,mid-size,sedan,silver,nj,3745
23738,"kansas city, MO",2013,ford,excellent,4 cylinders,gas,56357,clean,automatic,fwd,full-size,coupe,black,mo,6691
23739,atlanta,2014,toyota,good,4 cylinders,gas,115502,clean,automatic,fwd,mid-size,hatchback,silver,ga,13614
23740,north jersey,2010,jeep,excellent,6 cylinders,gas,182899,clean,manual,4wd,mid-size,SUV,grey,nj,5959
